Actual,Predicted
34016.0,18749.855819270917
10663.0,11894.739329973574
8075.0,11293.1549196217
15527.0,19545.345291452584
13698.0,18811.10098508367
27328.0,21346.19539249721
13151.0,17037.93487866599
16763.0,13716.266199850927
6701.0,10836.168141738724
4207.0,15557.512985538977
11542.0,14028.321497262885
27850.0,15589.525366518681
15375.0,11049.699130696814
10863.0,9715.194403985493
22266.0,16742.084977203223
14451.0,16453.875913774114
13731.0,18052.281637522363
15979.0,18068.3135767457
15989.0,14704.2230891131
20906.0,13908.441632854623
16323.0,20142.639222916427
35000.0,22008.4207097698
13433.0,19417.244059998273
27638.0,22894.812466710166
14125.0,20590.231635730393
8937.0,18388.868843881748
29241.0,25916.066029107933
42599.0,28491.143908285827
19615.0,23371.878893949535
32749.0,28087.727173798165
19786.0,24620.046442970815
19424.0,24798.865366107515
15238.0,31638.175421061656
19505.0,29059.90191733971
24026.0,24011.222447126558
26957.0,24203.361405974683
21646.0,20768.193967058047
8322.0,16236.452868714265
24553.0,23804.392819831657
23016.0,23059.537755216326
45854.0,27357.15766143093
34513.0,26697.789659215712
29636.0,27122.641975835388
7263.0,22779.23327100622
17215.0,31935.926983636535
